Change Physical Footprint: Designator=B1 Old Footprint=CMT-1203-SMT-TR New Footprint=CMT-1203-SMT-TR
Change Physical Footprint: Designator=C1 Old Footprint=CAP_0603H0.8 New Footprint=CAP_0603H0.8
Change Physical Footprint: Designator=C2 Old Footprint=CAP_0603H0.8 New Footprint=CAP_0603H0.8
Change Physical Footprint: Designator=C3 Old Footprint=CAP_0603H0.8 New Footprint=CAP_0603H0.8
Change Physical Footprint: Designator=FB1 Old Footprint=FERRITE_1206_1.1 New Footprint=FERRITE_1206_1.1
Change Physical Footprint: Designator=FB2 Old Footprint=FERRITE_1206_1.1 New Footprint=FERRITE_1206_1.1
Change Physical Footprint: Designator=FB3 Old Footprint=FERRITE_1206_1.1 New Footprint=FERRITE_1206_1.1
Change Physical Footprint: Designator=FB4 Old Footprint=FERRITE_1206_1.1 New Footprint=FERRITE_1206_1.1
Change Physical Footprint: Designator=FB5 Old Footprint=FERRITE_1206_1.1 New Footprint=FERRITE_1206_1.1
Change Physical Footprint: Designator=FB6 Old Footprint=FERRITE_1206_1.1 New Footprint=FERRITE_1206_1.1
Change Physical Footprint: Designator=J1 Old Footprint=AST0250204 New Footprint=AST0250204
Change Physical Footprint: Designator=J2 Old Footprint=AST0250204 New Footprint=AST0250204
Change Physical Footprint: Designator=J3 Old Footprint=AST0250204 New Footprint=AST0250204
Change Physical Footprint: Designator=J4 Old Footprint=AST0250204 New Footprint=AST0250204
Change Physical Footprint: Designator=J5 Old Footprint=AST0250204 New Footprint=AST0250204
Change Physical Footprint: Designator=J6 Old Footprint=AST0250204 New Footprint=AST0250204
Change Physical Footprint: Designator=J7 Old Footprint=AST0250204 New Footprint=AST0250204
Change Physical Footprint: Designator=J8 Old Footprint=AST0250204 New Footprint=AST0250204
Change Physical Footprint: Designator=J9 Old Footprint=AST0250204 New Footprint=AST0250204
Change Physical Footprint: Designator=J14 Old Footprint=AST0250204 New Footprint=AST0250204
Change Physical Footprint: Designator=JU1 Old Footprint=Jumper_2P_P2.54 New Footprint=Jumper_2P_P2.54
Change Physical Footprint: Designator=LCD1 Old Footprint=LCD2004 New Footprint=LCD2004
Change Physical Footprint: Designator=LED1 Old Footprint=LED_0603-12 New Footprint=LED_0603-12
Change Physical Footprint: Designator=LED2 Old Footprint=LED_0603-12 New Footprint=LED_0603-12
Change Physical Footprint: Designator=Pot1 Old Footprint=PCW1J-B28-BAB103L New Footprint=PCW1J-B28-BAB103L
Change Physical Footprint: Designator=Pot2 Old Footprint=PCW1J-B28-BAB103L New Footprint=PCW1J-B28-BAB103L
Change Physical Footprint: Designator=Pot3 Old Footprint=PCW1J-B28-BAB103L New Footprint=PCW1J-B28-BAB103L
Change Physical Footprint: Designator=Pot4 Old Footprint=Trimpot-3313-J1 New Footprint=Trimpot-3313-J1
Change Physical Footprint: Designator=Q1 Old Footprint=SOT23-3 New Footprint=SOT23-3
Change Physical Footprint: Designator=R1 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R2 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R3 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R4 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R5 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R6 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R7 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R8 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R9 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R10 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R11 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R12 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R13 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R14 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R15 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R16 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R17 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R18 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R19 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R20 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R21 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R22 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=TP1 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP2 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP3 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP4 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP5 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP6 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP7 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP8 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP9 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP10 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP11 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP12 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP13 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP14 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP15 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP16 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP17 Old Footprint=TP_PLATE New Footprint=TP_PLATE
Change Physical Footprint: Designator=TP18 Old Footprint=TP_PLATE New Footprint=TP_PLATE
Change Physical Footprint: Designator=TP19 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP20 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP21 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP22 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP23 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP24 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP25 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP26 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP27 Old Footprint=TP_HOOK New Footprint=TP_HOOK
